title,imdb_id,imdb_url,imdb_score,budget_in_millions,month_of_release,year_of_release,duration_in_hours,main_lang,total_number_languages,genre_action,genre_adventure,genre_animation,genre_biography,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_filmnoir,genre_history,genre_horror,genre_music,genre_musical,genre_mystery,genre_realitytv,genre_romance,genre_scifi,genre_shortfilm,genre_sport,genre_thriller,genre_war,genre_western,main_actor1_name,main_actor1_is_female,main_actor2_name,main_actor2_is_female,main_actor3_name,main_actor3_is_female,total_number_of_actors,main_director_name,main_director_is_female,total_number_of_directors,main_producer_name,total_number_of_producers,editor_name,main_production_company,total_number_of_production_companies,main_production_country,total_number_of_production_countries
Film 1,,,,1.821052,6,1951,1.85,Latin,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Kirk Douglas,0,Jan Sterling,1,Robert Arthur,0,32,Billy Wilder,0,1,Billy Wilder,1,Arthur P. Schmidt,Paramount Pictures,1,United States of America,1
Film 2,,,,100,11,2007,2.616666667,English,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Denzel Washington,0,Russell Crowe,0,Chiwetel Ejiofor,0,110,Ridley Scott,0,1,Brian Grazer,2,Pietro Scalia,Imagine Entertainment,5,United Kingdom,2
Film 3,,,,26,1,2006,1.8,English,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,James Franco,0,Donnie Wahlberg,0,Jim Parrack,0,5,Justin Lin,0,1,none,0,none,Touchstone Pictures,1,United States of America,1
Film 4,,,,18,6,1988,1.733333333,English,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tom Hanks,0,Elizabeth Perkins,1,Robert Loggia,0,15,Penny Marshall,1,1,James L. Brooks,2,Barry Malkin,Gracie Films,3,United States of America,1
Film 5,,,,13,6,1993,1.45,English,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,Gabrielle Anwar,1,Terry Kinney,0,Billy Wirth,0,10,Abel Ferrara,0,1,Robert H. Solo,1,Anthony Redman,Warner Bros.,3,United States of America,1
Film 6,,,,0.5,11,2001,1.816666667,English,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,David Mattey,0,Clyde Lewis,0,Heidi Sjursen,1,39,Lloyd Kaufman,0,1,Lloyd Kaufman,2,Gabriel Friedman,Troma Entertainment,1,United States of America,1
Film 7,,,,53,5,1995,1.933333333,English,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Denzel Washington,0,Gene Hackman,0,Matt Craven,0,18,Tony Scott,0,1,Jerry Bruckheimer,2,Chris Lebenzon,Hollywood Pictures,2,United States of America,1
Film 8,,,,17,12,1999,1.466666667,English,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rob Schneider,0,William Forsythe,0,Eddie Griffin,0,16,Mike Mitchell,0,1,Adam Sandler,1,George Bowers,Happy Madison Productions,3,United States of America,1
Film 9,,,,50,3,2006,1.616666667,English,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Matthew McConaughey,0,Sarah Jessica Parker,1,Zooey Deschanel,1,12,Tom Dey,0,1,Scott Aversano,2,Steven Rosenblum,Paramount Pictures,3,United States of America,1
Film 10,,,,35,11,2002,1.9,English,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Rebecca Romijn,1,Antonio Banderas,0,Peter Coyote,0,19,Brian De Palma,0,1,Tarak Ben Ammar,2,Bill Pankow,Epsilon Motion Pictures,2,Switzerland,2
Film 11,,,,94,5,2003,1.666666667,English,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Albert Brooks,0,Ellen DeGeneres,1,Alexander Gould,0,24,Andrew Stanton,0,1,Graham Walters,1,David Ian Salter,Pixar Animation Studios,1,United States of America,1
Film 12,,,,5.5,11,1955,2.5,English,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Marlon Brando,0,Jean Simmons,1,Frank Sinatra,0,18,Joseph L. Mankiewicz,0,1,Samuel Goldwyn,1,Daniel Mandell,"Samuel Goldwyn Company, The",1,United States of America,1
Film 13,,,,35,7,2011,1.633333333,English,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jennifer Aniston,1,Jason Bateman,0,Charlie Day,0,20,Seth Gordon,0,1,Brett Ratner,2,Peter Teschner,New Line Cinema,2,United States of America,1
Film 14,,,,123,11,2000,1.733333333,English,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jim Carrey,0,Taylor Momsen,1,Jeffrey Tambor,0,17,Ron Howard,0,1,Brian Grazer,2,Daniel P. Hanley,Imagine Entertainment,2,Germany,2
Film 15,,,,15,12,1962,3.6,Arabic,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Peter OToole,0,Alec Guinness,0,Anthony Quinn,0,53,David Lean,0,1,Sam Spiegel,2,Anne V. Coates,Horizon Pictures (II),1,United Kingdom,1
Film 16,,,,0.5,1,1995,1.483333333,English,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steve Buscemi,0,Catherine Keener,1,Dermot Mulroney,0,9,Tom DiCillo,0,1,Hilary Gilford,1,Dana Congdon,JDI productions,2,United States of America,1
Film 17,,,,45,7,1996,1.95,English,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Michael Keaton,0,Andie MacDowell,1,Harris Yulin,0,29,Harold Ramis,0,1,Lee R. Mayes,2,Craig Herring,Columbia Pictures Corporation,1,United States of America,1
Film 18,,,,85,9,2006,1.383333333,English,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Martin Lawrence,0,Ashton Kutcher,0,Gary Sinise,0,17,Roger Allers,0,3,none,0,none,Sony Pictures Animation,1,United States of America,1
Film 19,,,,30,9,2012,1.666666667,English,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Rachel McAdams,1,Noomi Rapace,1,Karoline Herfurth,1,11,Brian De Palma,0,1,Saïd Ben Saïd,1,François Gédigier,France 2 Cinéma,4,Germany,4
Film 20,,,,6,12,1986,2,English,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Tom Berenger,0,Charlie Sheen,0,Willem Dafoe,0,31,Oliver Stone,0,1,A. Kitman Ho,2,Claire Simpson,Orion Pictures,2,United Kingdom,2
Film 21,,,,33,3,2002,1.666666667,English,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Milla Jovovich,1,Michelle Rodriguez,1,Eric Mabius,0,22,Paul W.S. Anderson,0,1,Paul W.S. Anderson,4,Alexander Berner,Impact Pictures,4,France,4
Film 22,,,,25,1,2014,1.65,English,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ice Cube,0,Kevin Hart,0,John Leguizamo,0,45,Tim Story,0,1,Ice Cube,4,Craig Alpert,Universal Pictures,4,United States of America,1
Film 23,,,,65,5,2008,2.416666667,English,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Sarah Jessica Parker,1,Kim Cattrall,1,Cynthia Nixon,1,25,Michael Patrick King,0,1,Michael Patrick King,5,Michael Berenbaum,New Line Cinema,3,United States of America,1
Film 24,,,,0.179,10,1975,1.45,English,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Paul Hampton,0,Joe Silver,0,Lynn Lowry,1,9,David Cronenberg,0,1,Ivan Reitman,1,Patrick Dodd,Canadian Film Development Corporation (CFDC),3,Canada,1
Film 25,,,,12,9,1999,1.65,English,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Kevin Bacon,0,Kathryn Erbe,1,Illeana Douglas,1,12,David Koepp,0,1,Judy Hofflund,2,Jill Savitt,Artisan Entertainment,1,United States of America,1
Film 26,,,,70,3,2003,2.016666667,English,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Bruce Willis,0,Monica Bellucci,1,Cole Hauser,0,31,Antoine Fuqua,0,1,Ian Bryce,3,Conrad Buff IV,Columbia Pictures,4,United States of America,1
Film 27,,,,13.5,3,1990,1.55,Français,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Judith Hoag,1,Elias Koteas,0,Josh Pais,0,17,Steve Barron,0,1,Simon Fields,3,Sally Menke,New Line Cinema,2,Hong Kong,2
Film 28,,,,10,10,1983,1.716666667,English,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,Christopher Walken,0,Brooke Adams,1,Tom Skerritt,0,20,David Cronenberg,0,1,Debra Hill,1,Ronald Sanders,Paramount Pictures,3,United States of America,1
Film 29,,,,55,4,2008,1.733333333,English,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jackie Chan,0,Jet Li,0,Michael Angarano,0,15,Rob Minkoff,0,1,Casey Silver,3,Eric Strand,Casey Silver Productions,4,China,2
Film 30,,,,5,4,2001,1.5,English,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Kerr Smith,0,Brendan Fehr,0,Izabella Miko,1,11,J.S. Cardone,0,1,Scott Einbinder,2,Norman Buckley,Screen Gems,4,United States of America,1
Film 31,,,,85,12,2006,2.783333333,English,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Matt Damon,0,Angelina Jolie,1,Alec Baldwin,0,17,Robert De Niro,0,1,Robert De Niro,3,Tariq Anwar,Universal Pictures,3,United States of America,1
Film 32,,,,10,10,2004,1.533333333,English,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Sarah Michelle Gellar,1,Jason Behr,0,Clea DuVall,1,15,Takashi Shimizu,0,1,Sam Raimi,3,Jeff Betancourt,Ghost House Pictures,5,Japan,2
Film 33,,,,25,8,2008,1.616666667,English,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Anna Faris,1,Emma Stone,1,Kat Dennings,1,22,Fred Wolf,0,1,Adam Sandler,3,Debra Chiate,Columbia Pictures,4,United States of America,1
Film 34,,,,40,6,2009,1.8,English,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Sandra Bullock,1,Ryan Reynolds,0,Mary Steenburgen,1,71,Anne Fletcher,1,1,David Hoberman,2,Priscilla Nedd-Friendly,Touchstone Pictures,3,United States of America,1
Film 35,,,,65,6,1990,1.883333333,English,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Arnold Schwarzenegger,0,Sharon Stone,1,Rachel Ticotin,1,21,Paul Verhoeven,0,1,Ronald Shusett,2,Frank J. Urioste,TriStar Pictures,3,United States of America,1
Film 36,,,,30,10,1995,1.35,English,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tom Hanks,0,Tim Allen,0,Don Rickles,0,13,John Lasseter,0,1,Bonnie Arnold,2,Robert Gordon,Pixar Animation Studios,1,United States of America,1
Film 37,,,,15,1,2008,1.85,English,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Woody Harrelson,0,Emily Mortimer,1,Kate Mara,1,16,Brad Anderson,0,1,Álvaro Augustín,7,Jaume Martí,Lietuvos Kinostudija,9,Germany,4
Film 38,,,,14,10,1995,1.666666667,English,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Eddie Murphy,0,Angela Bassett,1,Allen Payne,0,9,Wes Craven,0,1,Mark Lipsky,2,Patrick Lussier,Paramount Pictures,1,United States of America,1
Film 39,,,,15,9,2011,1.983333333,English,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Abbie Cornish,1,Andrea Riseborough,1,James DArcy,0,16,Madonna,1,1,Madonna,2,Danny Tull,IM Global,2,United Kingdom,1
Film 40,,,,60,2,2014,1.966666667,English,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Colin Farrell,0,Jessica Brown Findlay,1,Russell Crowe,0,33,Akiva Goldsman,0,1,Akiva Goldsman,3,Tim Squyres,Village Roadshow Pictures,3,United States of America,1